2.10,1.1328,2.00
2.11,1.1304,2.00
2.12,1.1328,2.00
2.13,1.1328,2.00
2.14,1.1328,2.00
2.15,1.1353,2.00
2.16,1.1328,2.00
2.17,1.1328,2.00
2.18,1.1328,2.00
2.19,1.1328,2.00
2.20,1.1328,2.00
2.21,1.1304,2.00
2.22,1.1279,2.00
2.23,1.1279,2.00
2.24,1.1279,2.00
2.25,1.1279,2.00
2.26,1.1255,2.00
2.27,1.1255,2.00
2.28,1.1279,2.00
2.29,1.1279,2.00
2.30,1.1279,2.00
2.31,1.1279,2.00
2.32,1.1279,2.00
2.33,1.1279,2.00
2.34,1.1279,2.00
2.35,1.1279,2.00
2.36,1.1279,2.00
2.37,1.1255,2.00
2.38,1.1255,2.00
2.39,1.1255,2.00
2.40,1.1255,2.00
2.41,1.1255,2.00
2.42,1.1255,2.00
2.43,1.1255,2.00
2.44,1.1279,2.00
2.45,1.1279,2.00
2.46,1.1279,2.00
2.47,1.1279,2.00
2.48,1.1279,2.00
2.49,1.1304,2.00
2.50,1.1304,2.00
2.51,1.1304,2.00
2.52,1.1304,2.00
2.53,1.1279,2.00
2.54,1.1255,2.00
2.55,1.1279,2.00
2.56,1.1279,2.00
2.57,1.1279,2.00
2.58,1.1255,2.00
2.59,1.1279,2.00
2.60,1.1304,2.00
2.61,1.1304,2.00
2.62,1.1304,2.00
2.63,1.1304,2.00
2.64,1.1328,2.00
2.65,1.1353,2.00
2.66,1.1328,2.00
2.67,1.1353,2.00
2.68,1.1328,2.00
2.69,1.1328,2.00
2.70,1.1304,2.00
2.71,1.1328,2.00
2.72,1.1328,2.00
2.73,1.1304,2.00
2.74,1.1328,2.00
2.75,1.1328,2.00
2.76,1.1328,2.00
2.77,1.1328,2.00
2.78,1.1353,2.00
2.79,1.1353,2.00
2.80,1.1353,2.00
2.81,1.1377,2.00
2.82,1.1377,2.00
2.83,1.1377,2.00
2.84,1.1377,2.00
2.85,1.1353,2.00
2.86,1.1377,2.00
2.87,1.1377,2.00
2.88,1.1377,2.00
2.89,1.1377,2.00
2.90,1.1377,2.00
2.91,1.1401,2.00
2.92,1.1401,2.00
2.93,1.1401,2.00
2.94,1.1426,2.00
2.95,1.1426,2.00
2.96,1.1426,2.00
2.97,1.1426,2.00
2.98,1.1450,2.00
2.99,1.1426,2.00
3.00,1.1426,2.00
3.01,1.1426,2.00
3.02,1.1426,2.00
3.03,1.1426,2.00
3.04,1.1426,2.00
3.05,1.1426,2.00
3.06,1.1450,2.00
3.07,1.1450,2.00
3.08,1.1450,2.00
3.09,1.1475,2.00
3.10,1.1475,2.00
3.11,1.1475,2.00
3.12,1.1475,2.00
3.13,1.1499,2.00
3.14,1.1499,2.00
3.15,1.1499,2.00
3.16,1.1475,2.00
3.17,1.1499,2.00
3.18,1.1475,2.00
3.19,1.1499,2.00
3.20,1.1475,2.00
3.21,1.1499,2.00
3.22,1.1499,2.00
3.23,1.1523,2.00
3.24,1.1523,2.00
3.25,1.1523,2.00
3.26,1.1523,2.00
3.27,1.1548,2.00
3.28,1.1548,2.00
3.29,1.1548,2.00
3.30,1.1523,2.00
3.31,1.1523,2.00
3.32,1.1499,2.00
3.33,1.1499,2.00
3.34,1.1499,2.00
3.35,1.1475,2.00
3.36,1.1499,2.00
3.37,1.1499,2.00
3.38,1.1499,2.00
3.39,1.1499,2.00
3.40,1.1499,2.00
3.41,1.1499,2.00
3.42,1.1499,2.00
3.43,1.1499,2.00
3.44,1.1499,2.00
3.45,1.1475,2.00
3.46,1.1475,2.00
3.47,1.1475,2.00
3.48,1.1475,2.00
3.49,1.1475,2.00
3.50,1.1475,2.00
3.51,1.1475,2.00
3.52,1.1475,2.00
3.53,1.1499,2.00
3.54,1.1499,2.00
3.55,1.1499,2.00
3.56,1.1499,2.00
3.57,1.1499,2.00
3.58,1.1499,2.00
3.59,1.1499,2.00
3.60,1.1499,2.00
3.61,1.1499,2.00
3.62,1.1475,2.00
3.63,1.1499,2.00
3.64,1.1499,2.00
3.65,1.1499,2.00
3.66,1.1475,2.00
3.67,1.1499,2.00
3.68,1.1523,2.00
3.69,1.1499,2.00
3.70,1.1499,2.00
3.71,1.1499,2.00
3.72,1.1523,2.00
3.73,1.1523,2.00
3.74,1.1499,2.00
3.75,1.1523,2.00
3.76,1.1499,2.00
3.77,1.1499,2.00
3.78,1.1499,2.00
3.79,1.1499,2.00
3.80,1.1499,2.00
3.81,1.1475,2.00
3.82,1.1475,2.00
3.83,1.1475,2.00
3.84,1.1499,2.00
3.85,1.1499,2.00
3.86,1.1499,2.00
3.87,1.1499,2.00
3.88,1.1499,2.00
3.89,1.1499,2.00
3.90,1.1499,2.00
3.91,1.1475,2.00
3.92,1.1499,2.00
3.93,1.1475,2.00
3.94,1.1475,2.00
3.95,1.1475,2.00
3.96,1.1450,2.00
3.97,1.1450,2.00
3.98,1.1475,2.00
3.99,1.1475,2.00
4.00,1.1475,2.00
4.01,1.1475,2.00
4.02,1.1499,2.00
4.03,1.1499,2.00
4.04,1.1499,2.00
4.05,1.1499,2.00
4.06,1.1475,2.00
4.07,1.1475,2.00
4.08,1.1475,2.00
4.09,1.1475,2.00
4.10,1.1475,2.00
4.11,1.1450,2.00
4.12,1.1450,2.00
4.13,1.1450,2.00
4.14,1.1475,2.00
4.15,1.1450,2.00
4.16,1.1475,2.00
4.17,1.1499,2.00
4.18,1.1499,2.00
4.19,1.1499,2.00
4.20,1.1499,2.00
4.21,1.1499,2.00
4.22,1.1499,2.00
4.23,1.1499,2.00
4.24,1.1499,2.00
4.25,1.1499,2.00
4.26,1.1499,2.00
4.27,1.1475,2.00
4.28,1.1499,2.00
4.29,1.1499,2.00
4.30,1.1499,2.00
4.31,1.1499,2.00
4.32,1.1523,2.00
4.33,1.1523,2.00
4.34,1.1523,2.00
4.35,1.1523,2.00
4.36,1.1523,2.00
4.37,1.1523,2.00
4.38,1.1523,2.00
4.39,1.1499,2.00
4.40,1.1499,2.00
4.41,1.1499,2.00
4.42,1.1499,2.00
4.43,1.1499,2.00
4.44,1.1499,2.00
4.45,1.1499,2.00
4.46,1.1499,2.00
4.47,1.1499,2.00
4.48,1.1523,2.00
4.49,1.1499,2.00
4.50,1.1499,2.00
4.51,1.1499,2.00
4.52,1.1499,2.00
4.53,1.1499,2.00
4.54,1.1475,2.00
4.55,1.1475,2.00
4.56,1.1475,2.00
4.57,1.1475,2.00
4.58,1.1450,2.00
4.59,1.1475,2.00
4.60,1.1475,2.00
4.61,1.1475,2.00
4.62,1.1450,2.00
4.63,1.1475,2.00
4.64,1.1475,2.00
4.65,1.1475,2.00
4.66,1.1475,2.00
4.67,1.1499,2.00
4.68,1.1475,2.00
4.69,1.1475,2.00
4.70,1.1475,2.00
4.71,1.1475,2.00
4.72,1.1475,2.00
4.73,1.1450,2.00
4.74,1.1475,2.00
4.75,1.1475,2.00
4.76,1.1475,2.00
4.77,1.1475,2.00
4.78,1.1499,2.00
4.79,1.1499,2.00
4.80,1.1499,2.00
4.81,1.1499,2.00
4.82,1.1523,2.00
4.83,1.1499,2.00
4.84,1.1499,2.00
4.85,1.1475,2.00
4.86,1.1475,2.00
4.87,1.1475,2.00
4.88,1.1475,2.00
4.89,1.1475,2.00
4.90,1.1475,2.00
4.91,1.1499,2.00
4.92,1.1499,2.00
4.93,1.1475,2.00
4.94,1.1499,2.00
4.95,1.1499,2.00
4.96,1.1499,2.00
4.97,1.1499,2.00
4.98,1.1499,2.00
4.99,1.1499,2.00
